kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
408,A688221,40216,STRAY,OTC,2021-01-17 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2021-02-06 00:00:00,DOG,M,N,PUPPY,BR BRINDLE,CHIHUAHUA SH / MIX,40218,1
ID07,A688234,40222,STRAY,OTC,2021-01-18 00:00:00,STRAY,RTO,IN FIELD,2021-01-18 00:00:00,DOG,N,N,MED,BR BRINDLE / WHITE,BOSTON TERRIER / MIX,40205,2
DW13,A688337,40118,STRAY,OTC,2021-01-21 00:00:00,STRAY,RTO,IN KENNEL,2021-01-23 00:00:00,DOG,S,N,LARGE,WHITE / BROWN,CATAHOULA / MIX,40118,3
INTAKE,A688419,40204,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40204,4
INTAKE,A688478,40214,STRAY,OTC,2021-02-10 00:00:00,STRAY,TNR,CARETAKER,2021-02-11 00:00:00,CAT,N,N,MED,TORTIE,DOMESTIC SH,40210,5
INTAKE,A688508,40216,STRAY,OTC,2021-02-22 00:00:00,STRAY,TNR,CARETAKER,2021-02-24 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40216,6
INTAKE,A688558,40220,STRAY,OTC,2021-02-24 00:00:00,STRAY,TNR,CARETAKER,2021-02-26 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40220,7
ACO UNIT,A688582,40212,STRAY,FIELD,2021-01-23 00:00:00,INJURED,RTO,IN FIELD,2021-01-23 00:00:00,DOG,M,N,LARGE,BLACK / BROWN,GERM SHEPHERD,,8
LOST,A688793,,LOST,WEB,2021-02-01 00:00:00,,,,,CAT,M,,MED,UNKNOWN,AMER SH,40207,9
ID06,A581196,40229,STRAY,OTC,2022-02-24 00:00:00,STRAY,ADOPTION,WALK IN,2022-03-04 00:00:00,DOG,S,N,MED,YELLOW / WHITE,GOLDEN RETR / LABRADOR RETR,40229,10
FOLLOWUP,A684563,40218,STRAY,OTC,2021-09-08 00:00:00,STRAY,RTO,,2021-09-13 00:00:00,DOG,M,Y,LARGE,BLACK,PIT BULL,40218,11
N12,A685717,40206,STRAY,FIELD,2021-01-08 00:00:00,STRAY,ADOPTION,INTERNET,2021-01-20 00:00:00,DOG,S,N,PUPPY,RED / WHITE,AUST CATTLE DOG / MIX,40205,12
LOST,A692321,,LOST,WEB,2021-05-05 00:00:00,,,,,DOG,M,,MED,UNKNOWN,BOXER,40214,13
TNR/SNR,A692414,40212,STRAY,OTC,2021-05-13 00:00:00,STRAY,SNR,,2021-05-15 00:00:00,CAT,S,N,SMALL,GRAY TABBY,DOMESTIC SH,40212,14
INTAKE,A692426,40291,OWNER SUR,EUTH REQ,2021-05-13 00:00:00,EUTH MED,EUTH,REQUESTED,2021-05-13 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40165,15
LOST,A692454,,LOST,WEB,2021-05-09 00:00:00,,,,,CAT,M,,MED,UNKNOWN,AMER SH,40213,16
N20,A692494,40212,STRAY,OTC,2021-05-15 00:00:00,STRAY,ADOPTION,WALK IN,2021-05-27 00:00:00,DOG,N,Y,LARGE,BR BRINDLE,LABRADOR RETR / PLOTT HOUND,40272,17
LOST,A692505,,LOST,WEB,2021-05-14 00:00:00,,,,,CAT,M,,SMALL,UNKNOWN,DOMESTIC SH,40219,18
LOST,A692604,,LOST,WEB,2021-05-17 00:00:00,,,,,DOG,M,,MED,UNKNOWN,PIT BULL,40205,19
K105,A692708,40202,STRAY,,2022-09-10 00:00:00,STRAY,RTO,IN KENNEL,2022-09-15 00:00:00,DOG,N,N,SMALL,WHITE,SHIH TZU / MIX,40272,20
TNR/SNR,A692744,40272,STRAY,OTC,2021-05-21 00:00:00,STRAY,SNR,,2021-05-26 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40272-0000,21
FOUND,A692780,,FOUND,WEB,2021-05-23 00:00:00,,,,,DOG,,,,UNKNOWN,CHIHUAHUA SH,40205,22
TNR/SNR,A692827,40216,STRAY,OTC,2021-05-24 00:00:00,STRAY,SNR,,2021-05-26 00:00:00,CAT,S,N,LARGE,BLACK / WHITE,DOMESTIC SH,40216,23
TNR/SNR,A693011,40212,STRAY,OTC,2021-05-28 00:00:00,STRAY,SNR,,2021-06-02 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40212,24
C204,A693099,40203,STRAY,OTC,2021-05-31 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-06-01 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40203,25
ACO UNIT,A693180,40272,STRAY,FIELD,2021-06-01 00:00:00,STRAY,EUTH,INHUMANE,2021-06-01 00:00:00,CAT,U,N,SMALL,BLACK / WHITE,DOMESTIC SH,40272,26
NF1,A693206,40214,FOSTER,RETURN,2021-07-07 00:00:00,STRAY,ADOPTION,EVENT,2021-07-09 00:00:00,CAT,N,N,KITTN,GRAY,DOMESTIC SH,40220,27
C108,A693293,40203,STRAY,OTC,2022-12-12 00:00:00,STRAY,RTO,IN KENNEL,2022-12-12 00:00:00,CAT,S,N,SMALL,BRN TABBY,DOMESTIC SH,40203,28
TNR/SNR,A693451,40214,STRAY,OTC,2021-06-08 00:00:00,STRAY,SNR,,2021-06-10 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,40214,29
ACO UNIT,A658646,40213,STRAY,OTC,2024-02-05 00:00:00,STRAY,RTO,IN FIELD,2024-02-05 00:00:00,DOG,M,N,LARGE,BLACK / WHITE,ALASK MALAMUTE,40218,30
INTAKE,A689240,OUT OF COUNTY,FOSTER,RETURN,2021-04-09 00:00:00,FOSTER RET,ADOPTION,INTERNET,2021-04-09 00:00:00,DOG,S,N,MED,BLACK,LABRADOR RETR / MIX,40219,31
C303,A676831,40217,STRAY,OTC,2022-02-23 00:00:00,STRAY,TNR,,2022-03-11 00:00:00,CAT,N,N,LARGE,BLK TIGER,DOMESTIC SH,40217,32
LOST,A690245,,LOST,WEB,2021-03-17 00:00:00,,,,,DOG,F,,,UNKNOWN,CHIHUAHUA LH,40211,33
N13,A690435,40205,FOSTER,RETURN,2021-04-17 00:00:00,FOSTER RET,ADOPTION,INTERNET,2021-04-22 00:00:00,DOG,S,N,SMALL,BR BRINDLE / WHITE,PIT BULL / MIX,40205,34
TNR/SNR,A690634,40258,STRAY,OTC,2021-03-29 00:00:00,STRAY,SNR,,2021-03-31 00:00:00,CAT,N,N,LARGE,BUFF / WHITE,DOMESTIC LH,40258,35
ID02,A602846,40291,CONFISCATE,POLICE,2024-01-04 00:00:00,OWNER MED,ADOPTION,WALK IN,2024-03-05 00:00:00,DOG,N,N,MED,BLACK / WHITE,PIT BULL,40202,36
FREEZER,A500976,40211,DISPOSAL,OWNER,2022-04-24 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2022-04-24 00:00:00,DOG,S,N,MED,BLACK / TAN,GERM SHEPHERD / MIX,40211,37
K103B,A333998,40211,STRAY,OTC,2021-10-28 00:00:00,STRAY,RTO,IN KENNEL,2021-10-28 00:00:00,DOG,N,N,SMALL,WHITE / TAN,POMERANIAN,40212,38
ACO UNIT,A535805,40214,STRAY,FIELD,2021-12-24 00:00:00,STRAY,RTO,IN FIELD,2021-12-24 00:00:00,DOG,N,N,MED,BROWN / WHITE,BEAGLE / MIX,40169,39
DW14,A610403,40214,STRAY,OTC,2022-09-10 00:00:00,STRAY,EUTH,INHUMANE,2022-09-11 00:00:00,DOG,N,N,LARGE,BLUE CREAM / WHITE,STAFFORDSHIRE / MIX,40215,40
ACO UNIT,A628850,40219,STRAY,FIELD,2021-05-24 00:00:00,STRAY,RTO,IN FIELD,2021-05-24 00:00:00,DOG,N,Y,SMALL,BR BRINDLE / WHITE,BEAGLE / MIX,40218,41
ACO UNIT,A613502,40216,STRAY,FIELD,2023-06-27 00:00:00,STRAY,RTO,IN FIELD,2023-06-27 00:00:00,DOG,S,N,LARGE,BLACK / BLACK,PIT BULL,40216,42
K106B,A632435,40219,STRAY,FIELD,2022-06-26 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-07-02 00:00:00,DOG,N,N,SMALL,TAN / BLACK,SHIH TZU,40218,43
N52,A603557,40245,STRAY,OTC,2024-07-27 00:00:00,STRAY,RTO,IN KENNEL,2024-08-09 00:00:00,CAT,N,N,KITTN,BUFF,DOMESTIC SH,40245,44
608,A619982,40245,STRAY,FIELD,2021-01-11 00:00:00,STRAY,RTO,IN KENNEL,2021-01-13 00:00:00,DOG,M,N,LARGE,BLUE / WHITE,PIT BULL,40202,45
ACO UNIT,A619982,40245,STRAY,FIELD,2022-04-05 00:00:00,STRAY,RTO,IN FIELD,2022-04-05 00:00:00,DOG,M,N,LARGE,BLUE / WHITE,PIT BULL,40202,46
ID08,A638325,40208,STRAY,OTC,2022-03-19 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-04-02 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR / MIX,40210,47
FOLLOWUP,A596861,40299,STRAY,OTC,2025-04-24 00:00:00,STRAY,RTO,IN KENNEL,2025-04-26 00:00:00,DOG,N,N,MED,WHITE / TAN,BOXER / MIX,40299,48
ACO UNIT,A633395,40215,STRAY,FIELD,2022-06-16 00:00:00,STRAY,RTO,IN FIELD,2022-06-16 00:00:00,DOG,N,N,SMALL,BLACK / BROWN,YORKSHIRE TERR,40218,49
FOLLOWUP,A627561,40213,CONFISCATE,BITE,2022-08-23 00:00:00,VIOLATION,RTO,IN KENNEL,2022-09-03 00:00:00,DOG,S,Y,SMALL,BLACK / BROWN,MIN PINSCHER,40218,50
707,A674817,OUT OF COUNTY,RETURN,ADOPTION,2022-07-17 00:00:00,AGG FEAR,EUTH,REQUESTED,2022-07-20 00:00:00,DOG,S,N,LARGE,GRAY / BR BRINDLE,CANE CORSO,47136,51
ID04,A629750,40216,STRAY,FIELD,2023-01-18 00:00:00,STRAY,RTO,,2023-02-03 00:00:00,DOG,N,N,LARGE,RED / BROWN,PIT BULL,40216,52
403,A689453,40214,OWNER SUR,OTC,2021-03-01 00:00:00,RESPONSIBL,TRANSPORT,RESCUE GRP,2021-03-13 00:00:00,DOG,F,N,MED,WHITE / BLACK,BOXER,40214,53
ID06,A436502,40214,STRAY,OTC,2022-03-09 00:00:00,STRAY,RTO,,2022-03-09 00:00:00,DOG,S,N,LARGE,BLACK / WHITE,LABRADOR RETR / BEAGLE,40214,54
FOUND,A692246,,FOUND,WEB,2021-05-09 00:00:00,,,,,DOG,M,,,UNKNOWN,CHIHUAHUA SH,40258,55
907,A689057,40215,STRAY,OTC,2021-02-09 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-02-20 00:00:00,DOG,S,N,MED,BROWN / WHITE,ALASKAN HUSKY,40215,56
LOST,A689356,,LOST,WEB,2021-02-22 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,SIBERIAN HUSKY,40258,57
N50,A689152,40229,RETURN,ADOPTION,2021-06-03 00:00:00,RESPONSIBL,ADOPTION,INTERNET,2021-06-08 00:00:00,CAT,N,N,LARGE,ORG TABBY,DOMESTIC SH,40229,58
K108,A689488,40214,STRAY,OTC,2021-02-25 00:00:00,STRAY,RTO,IN KENNEL,2021-02-26 00:00:00,DOG,F,N,MED,TAN / WHITE,WELSH CORGI PEM / JACK RUSS TER,40214,59
N49,A630199,40214,OWNER SUR,OTC,2024-09-24 00:00:00,OWNER MED,ADOPTION,WALK IN,2024-10-06 00:00:00,CAT,S,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,40324,60
N15,A673563,40214,STRAY,OTC,2021-08-09 00:00:00,STRAY,ADOPTION,INTERNET,2021-09-07 00:00:00,DOG,N,N,LARGE,BROWN / BLACK,GERM SHEPHERD / MIX,40214,61
202,A689530,40216,STRAY,OTC,2024-01-05 00:00:00,STRAY,EUTH,REQUESTED,2024-01-07 00:00:00,DOG,S,N,MED,BROWN,PIT BULL,40241,62
N37,A513812,40258,OWNER SUR,RETURN 30,2023-05-30 00:00:00,AGG ANIMAL,ADOPTION,WALK IN,2023-06-13 00:00:00,CAT,S,N,KITTN,BLACK / WHITE,DOMESTIC MH,40258,63
ACO UNIT,A492074,40229,STRAY,FIELD,2021-10-21 00:00:00,STRAY,RTO,IN FIELD,2021-10-21 00:00:00,DOG,N,N,LARGE,BLACK,LABRADOR RETR,40291,64
N38,A689656,40229,FOSTER,RETURN,2021-03-22 00:00:00,FOSTER RET,ADOPTION,INTERNET,2021-03-23 00:00:00,CAT,S,N,KITTN,BUFF,DOMESTIC MH,40205,65
N25,A530210,40218,FOSTER,RETURN,2025-03-18 00:00:00,FOSTER RET,ADOPTION,WALK IN,2025-03-29 00:00:00,DOG,N,Y,SMALL,BLACK / BROWN,CHIHUAHUA LH / MIX,40208,66
C112,A689525,40219,STRAY,OTC,2021-02-27 00:00:00,STRAY,RTO,IN KENNEL,2021-03-01 00:00:00,CAT,M,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,40213,67
110,A689493,40229,RETURN,ADOPTION,2021-04-02 00:00:00,BITES,TRANSPORT,RESCUE GRP,2021-06-12 00:00:00,DOG,N,Y,LARGE,BLACK / WHITE,PIT BULL,40229,68
N37,A520012,40216,STRAY,OTC,2022-01-25 00:00:00,STRAY,ADOPTION,WALK IN,2022-02-06 00:00:00,CAT,N,N,SMALL,WHITE / GRAY TABBY,DOMESTIC SH,40216,69
FOSTER,A530210,40218,STRAY,OTC,2025-02-24 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-03-01 00:00:00,DOG,N,Y,SMALL,BLACK / BROWN,CHIHUAHUA LH / MIX,40218,70
INTAKE,A434772,40229,STRAY,OTC,2023-09-11 00:00:00,STRAY,TNR,CARETAKER,2023-09-13 00:00:00,DOG,N,N,TOY,BLACK / TAN,YORKSHIRE TERR,40229,71
FOUND,A692236,,FOUND,WEB,2021-05-08 00:00:00,,,,,CAT,F,,MED,BLACK / WHITE,DOMESTIC LH,40505,72
LOST,A689619,,LOST,WEB,2021-03-01 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,AMER SH,40229,73
LOST,A689538,,LOST,WEB,2021-02-25 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,AMER SH,40220,74
FREEZER,A688184,40208,DISPOSAL,STRAY,2021-01-15 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2021-01-15 00:00:00,CAT,M,N,LARGE,WHITE / BRN TABBY,DOMESTIC SH,40208,75
DW17,A692273,40214,STRAY,OTC,2021-05-10 00:00:00,STRAY,RTO,IN KENNEL,2021-05-12 00:00:00,DOG,N,N,LARGE,BROWN / TAN,CHINESE SHARPEI / LABRADOR RETR,40208,76
NP,A536859,40215,STRAY,FIELD,2023-02-06 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-02-28 00:00:00,DOG,N,N,MED,RED / WHITE,PIT BULL,40219,77
ACO UNIT,A657693,40212,STRAY,FIELD,2021-03-28 00:00:00,STRAY,RTO,IN FIELD,2021-03-28 00:00:00,DOG,N,N,MED,BLUE / WHITE,PIT BULL,40212,78
