animalId,intakeDate,intakeReason,species,sex,breed,color,outcomeDate,outcome,shelterName,shelterID,city,state,indate,outdate,lengthOfStay
AA904691,05/13/2024 11:13:00 AM,Stray,Dog,Intact Female,Labrador Retriever/Alaskan Husky,White/Tan,2024-05-31T18:52:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-31,18 days
AA904685,05/13/2024 11:24:00 AM,Stray,Cat,Intact Male,Siamese,Seal Point,2024-05-20T17:40:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-20,7 days
AA904694,05/13/2024 11:46:00 AM,Owner Surrender,Dog,Intact Female,Doberman Pinsch,Black/Brown,2024-05-13T14:39:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904695,05/13/2024 11:46:00 AM,Owner Surrender,Dog,Intact Female,Doberman Pinsch,Black/Brown,2024-05-13T14:39:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904696,05/13/2024 11:46:00 AM,Owner Surrender,Dog,Intact Male,Doberman Pinsch,Black/Brown,2024-05-13T14:40:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904697,05/13/2024 11:46:00 AM,Owner Surrender,Dog,Intact Male,Doberman Pinsch,Brown,2024-05-13T14:40:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904704,05/13/2024 11:55:00 AM,Stray,Cat,Unknown,Domestic Shorthair,Blue,2024-05-17T16:28:00,Euthanasia,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-17,4 days
AA904693,05/13/2024 11:56:00 AM,Stray,Cat,Intact Female,Domestic Longhair Mix,Blue/White,2024-08-23T13:22:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-08-23,102 days
AA904698,05/13/2024 11:58:00 AM,Stray,Cat,Intact Female,Domestic Shorthair,Brown Tabby,2024-05-13T14:38:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904700,05/13/2024 11:58:00 AM,Stray,Cat,Intact Female,Domestic Medium Hair,Blue/White,2024-05-16T14:11:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-16,3 days
AA904701,05/13/2024 12:25:00 PM,Stray,Cat,Intact Female,Domestic Shorthair Mix,Calico,2024-05-23T17:33:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-23,10 days
AA904707,05/13/2024 12:29:00 PM,Stray,Cat,Intact Male,Siamese,Lynx Point,2024-05-13T14:41:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904708,05/13/2024 12:29:00 PM,Stray,Cat,Intact Female,Siamese,Flame Point,2024-05-13T14:41:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904709,05/13/2024 12:40:00 PM,Stray,Cat,Intact Male,Domestic Shorthair,Orange Tabby,2024-05-13T14:40:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA904716,05/13/2024 01:29:00 PM,Stray,Other,Unknown,Rabbit Sh,Brown,2024-05-21T14:51:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-21,8 days
AA904713,05/13/2024 01:29:00 PM,Stray,Dog,Intact Female,French Bulldog,Black Brindle,2024-05-13T16:29:35,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-13,0 days
AA843928,05/13/2024 01:50:00 PM,Owner Surrender,Dog,Spayed Female,Pit Bull,Blue/White,2024-05-25T19:15:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-25,12 days
AA904720,05/13/2024 02:25:00 PM,Stray,Cat,Intact Male,Domestic Shorthair Mix,White/Brown Tabby,2024-08-31T17:38:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-08-31,110 days
AA904721,05/13/2024 02:25:00 PM,Stray,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,2024-09-01T15:29:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-09-01,111 days
AA904734,05/13/2024 03:32:00 PM,Stray,Cat,Intact Male,Domestic Medium Hair,Black/White,2024-06-03T14:41:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-06-03,21 days
AA904735,05/13/2024 03:32:00 PM,Stray,Cat,Intact Female,Domestic Medium Hair,Black/White,2024-06-03T14:41:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-06-03,21 days
AA904736,05/13/2024 03:32:00 PM,Stray,Cat,Intact Female,Domestic Medium Hair,Brown Tabby/White,2024-06-03T14:41:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-06-03,21 days
AA904737,05/13/2024 04:02:00 PM,Stray,Dog,Intact Female,Shih Tzu,Brown/Tan,2024-05-24T11:43:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-05-24,11 days
AA904748,05/13/2024 04:36:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Black/White,2024-06-06T17:15:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-06-06,24 days
AA904747,05/13/2024 04:45:00 PM,Stray,Cat,Spayed Female,Domestic Shorthair,Torbie,2024-07-16T12:32:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-07-16,64 days
